ID_response,ID_study,tax_man,fd_ch_trt,tax_man_pres,tax_man_cnt,tax_man_cnt_unit,tax_man_biom,tax_man_biom_unit,tax_man_div,tax_man_div_unit,tax_resp,tax_resp_mn,tax_resp_sd,tax_resp_reps,tax_resp_cat,tax_resp_typ,tax_resp_unit,repeat_meas,n_add,p_add,other1_add,other2_add,lightman,n_rate,p_rate,other_rate,other2_rate,light_rate,other1_typ,other2_typ,elements,fert_unit,Source,note_resp
743,DSG053,.,2,0,.,.,.,.,.,.,periphyton,17,.,2,biomass,chlorophyll,mg/m2,0,0,0,0,0,.,0,0,0,0,.,Ca,K,.,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
744,DSG053,.,2,0,.,.,.,.,.,.,periphyton,4.3,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,21.42857143,9.686793671,10.73517857,9.685047289,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
745,DSG053,.,2,0,.,.,.,.,.,.,periphyton,10,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,42.85714286,19.37358734,21.47035714,19.37009458,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
746,DSG053,.,2,0,.,.,.,.,.,.,periphyton,10.2,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,64.28571429,29.06038101,32.20553571,29.05514187,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
747,DSG053,.,2,0,.,.,.,.,.,.,periphyton,14.9,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,107.1428571,48.43396836,53.67589286,48.42523645,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
748,DSG053,.,2,0,.,.,.,.,.,.,periphyton,5.4,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,214.2857143,96.86793671,107.3517857,96.85047289,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
749,DSG053,.,2,0,.,.,.,.,.,.,zooplankton,3171,.,2,biomass,biomass,microg/L,0,0,0,0,0,.,0,0,0,0,.,Ca,K,.,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
750,DSG053,.,2,0,.,.,.,.,.,.,zooplankton,4176,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,21.42857143,9.686793671,10.73517857,9.685047289,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
751,DSG053,.,2,0,.,.,.,.,.,.,zooplankton,3248,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,42.85714286,19.37358734,21.47035714,19.37009458,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
752,DSG053,.,2,0,.,.,.,.,.,.,zooplankton,3182,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,64.28571429,29.06038101,32.20553571,29.05514187,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
753,DSG053,.,2,0,.,.,.,.,.,.,zooplankton,1972,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,107.1428571,48.43396836,53.67589286,48.42523645,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
754,DSG053,.,2,0,.,.,.,.,.,.,zooplankton,3042,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,214.2857143,96.86793671,107.3517857,96.85047289,.,Ca,K,N P Ca K,microM,Table1,2/3 enclosures with fish - factorial treatments pooled by authors to single factor contrasts
755,DSG054,sticklebacks,2,0,.,.,0,g/m2,0,richness,phytoplankton,360,.,2,biomass,chlorophyll,microg/L,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
756,DSG054,sticklebacks,3,1,.,.,4,g/m2,1,richness,phytoplankton,277,.,2,biomass,chlorophyll,microg/L,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
757,DSG054,sticklebacks,3,1,.,.,20,g/m2,1,richness,phytoplankton,253,.,2,biomass,chlorophyll,microg/L,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
758,DSG054,sticklebacks,2,0,.,.,0,g/m2,0,richness,periphyton,6.5,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
759,DSG054,sticklebacks,3,1,.,.,4,g/m2,1,richness,periphyton,11.3,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
760,DSG054,sticklebacks,3,1,.,.,20,g/m2,1,richness,periphyton,13.2,.,2,biomass,chlorophyll,mg/m2,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
761,DSG054,sticklebacks,2,0,.,.,0,g/m2,0,richness,zooplankton,3252,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
762,DSG054,sticklebacks,3,1,.,.,4,g/m2,1,richness,zooplankton,2196,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
763,DSG054,sticklebacks,3,1,.,.,20,g/m2,1,richness,zooplankton,3948,.,2,biomass,biomass,microg/L,0,1,1,0,0,.,.,.,.,.,.,Ca,K,N P Ca K,.,Table1,3/4 enclosures with nutrient additions of various levels - factorial treatments pooled by authors to single factor contrasts
764,DSG055,aphids+slugs,1,0,.,.,.,.,.,.,Tapton herbs,12.06477937,5.279671875,8,biomass,biomass,g,0,0,0,0,.,.,0.714285714,0.357142857,0.357142857,.,.,K,.,.,g/m2,Fig5,.
765,DSG055,aphids+slugs,2,1,.,.,.,.,.,.,Tapton herbs,12.01035122,1.319917911,8,biomass,biomass,g,0,0,0,0,.,.,0.714285714,0.357142857,0.357142857,.,.,K,.,.,g/m2,Fig5,.
766,DSG055,aphids+slugs+ladybirds+beetles,3,1,.,.,.,.,.,.,Tapton herbs,13.82256579,2.635436826,8,biomass,biomass,g,0,0,0,0,.,.,0.714285714,0.357142857,0.357142857,.,.,K,.,.,g/m2,Fig5,.
767,DSG055,aphids+slugs,1,0,.,.,.,.,.,.,Tapton herbs,55.68210639,15.8390082,8,biomass,biomass,g,0,1,1,0,.,.,3.571428571,1.785714286,1.785714286,.,.,K,.,N P K,g/m2,Fig5,.
768,DSG055,aphids+slugs,2,1,.,.,.,.,.,.,Tapton herbs,39.76118287,10.55493945,8,biomass,biomass,g,0,1,1,0,.,.,3.571428571,1.785714286,1.785714286,.,.,K,.,N P K,g/m2,Fig5,.
769,DSG055,aphids+slugs+ladybirds+beetles,3,1,.,.,.,.,.,.,Tapton herbs,45.5717498,1.315517691,8,biomass,biomass,g,0,1,1,0,.,.,3.571428571,1.785714286,1.785714286,.,.,K,.,N P K,g/m2,Fig5,.
770,DSG055,aphids+slugs,1,0,.,.,.,.,.,.,Tapton herbs,130.5656686,21.11867009,8,biomass,biomass,g,0,1,1,0,.,.,17.85714286,8.928571429,8.928571429,.,.,K,.,N P K,g/m2,Fig5,.
771,DSG055,aphids+slugs,2,1,.,.,.,.,.,.,Tapton herbs,98.31005371,35.63775678,8,biomass,biomass,g,0,1,1,0,.,.,17.85714286,8.928571429,8.928571429,.,.,K,.,N P K,g/m2,Fig5,.
772,DSG055,aphids+slugs+ladybirds+beetles,3,1,.,.,.,.,.,.,Tapton herbs,89.85415457,27.71825556,8,biomass,biomass,g,0,1,1,0,.,.,17.85714286,8.928571429,8.928571429,.,.,K,.,N P K,g/m2,Fig5,.
773,DSG055,aphids+slugs,1,0,.,.,.,.,.,.,Tapton herbs,30.66889937,2.979779457,8,diversity,richness,S,0,1,1,0,.,.,0.714285714,0.357142857,0.357142857,.,.,K,.,N P K,g/m2,Fig5,.
774,DSG055,aphids+slugs,2,1,.,.,.,.,.,.,Tapton herbs,25.51840092,3.973039721,8,diversity,richness,S,0,1,1,0,.,.,0.714285714,0.357142857,0.357142857,.,.,K,.,N P K,g/m2,Fig5,.
775,DSG055,aphids+slugs+ladybirds+beetles,3,1,.,.,.,.,.,.,Tapton herbs,26.92308311,2.317606016,8,diversity,richness,S,0,1,1,0,.,.,0.714285714,0.357142857,0.357142857,.,.,K,.,N P K,g/m2,Fig5,.
776,DSG055,aphids+slugs,1,0,.,.,.,.,.,.,Tapton herbs,27.97659444,4.304124829,8,diversity,richness,S,0,1,1,0,.,.,3.571428571,1.785714286,1.785714286,.,.,K,.,N P K,g/m2,Fig5,.
777,DSG055,aphids+slugs,2,1,.,.,.,.,.,.,Tapton herbs,24.69900505,3.973038435,8,diversity,richness,S,0,1,1,0,.,.,3.571428571,1.785714286,1.785714286,.,.,K,.,N P K,g/m2,Fig5,.
778,DSG055,aphids+slugs+ladybirds+beetles,3,1,.,.,.,.,.,.,Tapton herbs,24.58194837,3.641951838,8,diversity,richness,S,0,1,1,0,.,.,3.571428571,1.785714286,1.785714286,.,.,K,.,N P K,g/m2,Fig5,.
779,DSG055,aphids+slugs,1,0,.,.,.,.,.,.,Tapton herbs,21.65552939,1.655432656,8,diversity,richness,S,0,1,1,0,.,.,17.85714286,8.928571429,8.928571429,.,.,K,.,N P K,g/m2,Fig5,.
780,DSG055,aphids+slugs,2,1,.,.,.,.,.,.,Tapton herbs,13.34449883,6.952817592,8,diversity,richness,S,0,1,1,0,.,.,17.85714286,8.928571429,8.928571429,.,.,K,.,N P K,g/m2,Fig5,.
781,DSG055,aphids+slugs+ladybirds+beetles,3,1,.,.,.,.,.,.,Tapton herbs,12.75921514,4.304125137,8,diversity,richness,S,0,1,1,0,.,.,17.85714286,8.928571429,8.928571429,.,.,K,.,N P K,g/m2,Fig5,.
782,DSG056,Daphnia_spp,1,0,.,.,.,.,.,.,phytoplankton,4.393200494,1.841346624,3,biomass,chlorophyll,microg/L,1,0,0,0,.,.,0,0,0,.,.,Na,.,.,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
783,DSG056,Daphnia_spp,1,0,.,.,.,.,.,.,phytoplankton,8.782601614,5.670062275,3,biomass,chlorophyll,microg/L,1,1,1,0,.,.,0.714285714,0.016144656,0.064347826,.,.,Na,.,N P Na,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
784,DSG056,Daphnia_spp,1,0,.,.,.,.,.,.,phytoplankton,15.02112589,10.13975145,3,biomass,chlorophyll,microg/L,1,1,1,0,.,.,1.428571429,0.032289312,0.128695652,.,.,Na,.,N P Na,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
785,DSG056,Daphnia_spp,1,0,.,.,.,.,.,.,phytoplankton,24.24232412,23.08786501,3,biomass,chlorophyll,microg/L,1,1,1,0,.,.,2.857142857,0.064578624,0.213913043,.,.,Na,.,N P Na,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
786,DSG056,Daphnia_spp,2,1,.,.,.,.,.,.,phytoplankton,3.853180346,1.439913496,3,biomass,chlorophyll,microg/L,1,0,0,0,.,.,0,0,0,.,.,Na,.,.,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
787,DSG056,Daphnia_spp,2,1,.,.,.,.,.,.,phytoplankton,6.114477347,2.617577189,3,biomass,chlorophyll,microg/L,1,1,1,0,.,.,0.714285714,0.016144656,0.064347826,.,.,Na,.,N P Na,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
788,DSG056,Daphnia_spp,2,1,.,.,.,.,.,.,phytoplankton,9.725280272,5.155357233,3,biomass,chlorophyll,microg/L,1,1,1,0,.,.,1.428571429,0.032289312,0.128695652,.,.,Na,.,N P Na,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
789,DSG056,Daphnia_spp,2,1,.,.,.,.,.,.,phytoplankton,9.488149681,6.460320349,3,biomass,chlorophyll,microg/L,1,1,1,0,.,.,2.857142857,0.064578624,0.213913043,.,.,Na,.,N P Na,microM/d,author,average of 9 repeated measures weekly over duration - last several points occur after phenological decline - upon advice of author
790,DSG059,snails,1,0,.,.,.,.,.,.,epiphytic algae,13.31968613,5.670066539,10,biomass,biomass,g/kL,0,0,0,0,.,.,0,0,0,.,.,.,.,.,mg/l,Fig1,.
791,DSG059,snails,1,0,.,.,.,.,.,.,epiphytic algae,44.05739803,21.06024994,10,biomass,biomass,g/kL,0,1,1,1,.,.,1,0.05,1.68,.,.,Na,.,NO P Na,mg/l,Fig1,.
792,DSG059,snails,1,0,.,.,.,.,.,.,epiphytic algae,98.87296778,44.55051146,10,biomass,biomass,g/kL,0,1,1,1,.,.,2,0.1,3.36,.,.,Na,.,NO P Na,mg/l,Fig1,.
793,DSG059,snails,2,1,.,.,.,.,.,.,epiphytic algae,6.65988011,5.670066974,10,biomass,biomass,g/kL,0,0,0,0,.,.,0,0,0,.,.,.,.,.,mg/l,Fig1,.
794,DSG059,snails,2,1,.,.,.,.,.,.,epiphytic algae,7.684475367,7.290085863,10,biomass,biomass,g/kL,0,1,1,1,.,.,1,0.05,1.68,.,.,Na,.,NO P Na,mg/l,Fig1,.
795,DSG059,snails,2,1,.,.,.,.,.,.,epiphytic algae,15.88119965,18.6302185,10,biomass,biomass,g/kL,0,1,1,1,.,.,2,0.1,3.36,.,.,Na,.,NO P Na,mg/l,Fig1,.
796,DSG059,snails,1,0,.,.,.,.,.,.,milfoil,0.687107715,5.226815921,10,biomass,biomass,g/kL,0,0,0,0,.,.,0,0,0,.,.,.,.,.,mg/l,Fig1,.
797,DSG059,snails,1,0,.,.,.,.,.,.,milfoil,22.52404578,10.97631316,10,biomass,biomass,g/kL,0,1,1,1,.,.,1,0.05,1.68,.,.,Na,.,NO P Na,mg/l,Fig1,.
798,DSG059,snails,1,0,.,.,.,.,.,.,milfoil,69.81508487,29.79067357,10,biomass,biomass,g/kL,0,1,1,1,.,.,2,0.1,3.36,.,.,Na,.,NO P Na,mg/l,Fig1,.
799,DSG059,snails,2,1,.,.,.,.,.,.,milfoil,2.752524685,6.272178605,10,biomass,biomass,g/kL,0,0,0,0,.,.,0,0,0,.,.,.,.,.,mg/l,Fig1,.
800,DSG059,snails,2,1,.,.,.,.,.,.,milfoil,5.416234853,4.704133785,10,biomass,biomass,g/kL,0,1,1,1,.,.,1,0.05,1.68,.,.,Na,.,NO P Na,mg/l,Fig1,.
801,DSG059,snails,2,1,.,.,.,.,.,.,milfoil,7.74937167,9.930948712,10,biomass,biomass,g/kL,0,1,1,1,.,.,2,0.1,3.36,.,.,Na,.,NO P Na,mg/l,Fig1,.
802,DSG059,snails,1,0,.,.,.,.,.,.,native macroalgae,64.26230137,15.55218349,10,biomass,biomass,g/kL,0,0,0,0,.,.,0,0,0,.,.,.,.,.,mg/l,Fig1,.
803,DSG059,snails,1,0,.,.,.,.,.,.,native macroalgae,27.21312726,8.294498495,10,biomass,biomass,g/kL,0,1,1,1,.,.,1,0.05,1.68,.,.,Na,.,NO P Na,mg/l,Fig1,.
804,DSG059,snails,1,0,.,.,.,.,.,.,native macroalgae,12.78690245,7.776092766,10,biomass,biomass,g/kL,0,1,1,1,.,.,2,0.1,3.36,.,.,Na,.,NO P Na,mg/l,Fig1,.
805,DSG059,snails,2,1,.,.,.,.,.,.,native macroalgae,69.50820521,27.99391322,10,biomass,biomass,g/kL,0,0,0,0,.,.,0,0,0,.,.,.,.,.,mg/l,Fig1,.
806,DSG059,snails,2,1,.,.,.,.,.,.,native macroalgae,65.24591335,22.809856,10,biomass,biomass,g/kL,0,1,1,1,.,.,1,0.05,1.68,.,.,Na,.,NO P Na,mg/l,Fig1,.
807,DSG059,snails,2,1,.,.,.,.,.,.,native macroalgae,67.21312518,36.80681136,10,biomass,biomass,g/kL,0,1,1,1,.,.,2,0.1,3.36,.,.,Na,.,NO P Na,mg/l,Fig1,.
808,DSG060,hippos + buffalo,2,1,.,.,.,.,.,.,Sporobolis-Themeda-Chloris,360.05,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; biomass;
809,DSG060,hippos + buffalo,1,0,.,.,.,.,.,.,Sporobolis-Themeda-Chloris,475,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; biomass;
810,DSG061,hippos,2,1,.,.,.,.,.,.,Sporobolis-Themeda-Chloris,419.174,.,.,biomass,ANPP,g/m2/yr,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; basal cover;
811,DSG061,hippos,1,0,.,.,.,.,.,.,Sporobolis-Themeda-Chloris,553,.,.,biomass,ANPP,g/m2/yr,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; basal cover;
812,DSG062,hippos,2,1,.,.,.,.,.,.,Hyparrhenia-Themeda,419.174,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; density;
813,DSG062,hippos,1,0,.,.,.,.,.,.,Hyparrhenia-Themeda,553,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; density;
814,DSG063,cattle goats camels sheep,2,1,.,.,.,.,.,.,Acacia-Indigofera-Ipomora,280,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; canopy cover; average of multiple entries in M&L appendix
815,DSG063,cattle goats camels sheep,1,0,.,.,.,.,.,.,Acacia-Indigofera-Ipomora,288,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; canopy cover; average of multiple entries in M&L appendix
816,DSG064,cattle goats sheep,2,1,.,.,.,.,.,.,Pterocarpus-Schoenefeldia,127.092,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density;
817,DSG064,cattle goats sheep,1,0,.,.,.,.,.,.,Pterocarpus-Schoenefeldia,204,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density;
818,DSG065,elephant buffalo eland,2,1,.,.,.,.,.,.,Themeda-Digitaria,45,.,.,biomass,ANPP,g/m2/yr,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density;
819,DSG065,elephant buffalo eland,1,0,.,.,.,.,.,.,Themeda-Digitaria,50,.,.,biomass,ANPP,g/m2/yr,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density;
820,DSG066,vertebrate grazers,2,1,.,.,.,.,.,.,Dichanthium-Cynodon,926,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; canopy cover; average of multiple entries in M&L appendix
821,DSG066,vertebrate grazers,1,0,.,.,.,.,.,.,Dichanthium-Cynodon,1439,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; canopy cover; average of multiple entries in M&L appendix
822,DSG067,vertebrate grazers,2,1,.,.,.,.,.,.,Salvia-Festuca,54.01,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; freq;
823,DSG067,vertebrate grazers,1,0,.,.,.,.,.,.,Salvia-Festuca,110,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; freq;
824,DSG068,vertebrate grazers,2,1,.,.,.,.,.,.,Aneurolepidium chinense steppe,115,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density; average of multiple entries in M&L appendix
825,DSG068,vertebrate grazers,1,0,.,.,.,.,.,.,Aneurolepidium chinense steppe,124,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density; average of multiple entries in M&L appendix
826,DSG069,vertebrate grazers,2,1,.,.,.,.,.,.,Stipa grandis steppe,87,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density; average of multiple entries in M&L appendix
827,DSG069,vertebrate grazers,1,0,.,.,.,.,.,.,Stipa grandis steppe,126,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; density; average of multiple entries in M&L appendix
828,DSG070,vertebrate grazers,2,1,.,.,.,.,.,.,Bromus-Calamagrostis meadow-steppe,326,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,mountain; other; average of multiple entries in M&L appendix
829,DSG070,vertebrate grazers,1,0,.,.,.,.,.,.,Bromus-Calamagrostis meadow-steppe,600,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,mountain; other; average of multiple entries in M&L appendix
830,DSG071,vertebrate grazers,2,1,.,.,.,.,.,.,Astrebla-Aristida,152,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; freq; average of multiple entries in M&L appendix
831,DSG071,vertebrate grazers,1,0,.,.,.,.,.,.,Astrebla-Aristida,223,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; freq; average of multiple entries in M&L appendix
832,DSG072,cattle horses,2,1,.,.,.,.,.,.,Veronica-Avenula,166,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; biomass; average of multiple entries in M&L appendix
833,DSG072,cattle horses,1,0,.,.,.,.,.,.,Veronica-Avenula,310,.,2,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; biomass; average of multiple entries in M&L appendix
834,DSG073,vertebrate grazers,2,1,.,.,.,.,.,.,Andropogon-Panicum,450,.,2,biomass,ANPP,g/m2/yr,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,forest; freq; average of multiple entries in M&L appendix
835,DSG073,vertebrate grazers,1,0,.,.,.,.,.,.,Andropogon-Panicum,383,.,2,biomass,ANPP,g/m2/yr,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,forest; freq; average of multiple entries in M&L appendix
836,DSG074,vertebrate grazers,2,1,.,.,.,.,.,.,Andropogon-Panicum,133,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,forest; freq; average of multiple entries in M&L appendix
837,DSG074,vertebrate grazers,1,0,.,.,.,.,.,.,Andropogon-Panicum,115,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,forest; freq; average of multiple entries in M&L appendix
838,DSG075,vertebrate grazers,2,1,.,.,.,.,.,.,Bouteloua-Opuntia,44.02,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; biomass;
839,DSG075,vertebrate grazers,1,0,.,.,.,.,.,.,Bouteloua-Opuntia,71,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; biomass;
840,DSG076,vertebrate grazers,2,1,.,.,.,.,.,.,Bouteloua-Muhlenbergia,52,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,mountain; canopy cover; average of multiple entries in M&L appendix
841,DSG076,vertebrate grazers,1,0,.,.,.,.,.,.,Bouteloua-Muhlenbergia,69,.,3,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,mountain; canopy cover; average of multiple entries in M&L appendix
842,DSG077,vertebrate grazers,2,1,.,.,.,.,.,.,Juniperus-Bouteloua,122.008,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; biomass;
843,DSG077,vertebrate grazers,1,0,.,.,.,.,.,.,Juniperus-Bouteloua,202,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,shrubland; biomass;
844,DSG078,vertebrate grazers,2,1,.,.,.,.,.,.,Buchloe-Stipa,267,.,8,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; freq; average of multiple entries in M&L appendix
845,DSG078,vertebrate grazers,1,0,.,.,.,.,.,.,Buchloe-Stipa,341,.,8,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; freq; average of multiple entries in M&L appendix
846,DSG079,vertebrate grazers,2,1,.,.,.,.,.,.,Andropogon-Sorghastrum,529.879,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; density;
847,DSG079,vertebrate grazers,1,0,.,.,.,.,.,.,Andropogon-Sorghastrum,413,.,.,biomass,ANPP,g/m2/yr,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,appendix in Milchunas & Laurenroth 1993,grassland; density;
