Chla_Mean,Chla_SE,LRR_Mean,LRR_Var,Trt,Temp,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Canopy_Quant
141.9,14,,,Ctrl,7.5,1.26,1798,,,28.5,,90.8,
141.9,14,,,Ctrl,7.5,1.26,1798,,,28.5,,90.8,
88.3,3.5,,,Ctrl,8.5,54,3658,,,107.3,,54.8,
88.3,3.5,,,Ctrl,8.5,54,3658,,,107.3,,54.8,
88.3,3.5,,,Ctrl,8.5,54,3658,,,107.3,,54.8,
230,41.3,,,Ctrl,8.5,54,3658,,,107.3,,54.8,
230,41.3,,,Ctrl,8.5,54,3658,,,107.3,,54.8,
230,41.3,,,Ctrl,8.5,54,3658,,,107.3,,54.8,
64.8,1.9,,,Ctrl,8,18,1178,,,28.5,,62,
64.8,1.9,,,Ctrl,8,18,1178,,,28.5,,62,
181.5,4,,,Ctrl,8,18,1178,,,28.5,,62,
64.8,1.9,,,Ctrl,8,18,1178,,,28.5,,62,
181.5,4,,,Ctrl,8,18,1178,,,28.5,,62,
181.5,4,,,Ctrl,8,18,1178,,,28.5,,62,
1.27,0.12,,,Ctrl,5,2.4,27.3,,,1.3,,52.5,
0.24,0.07,,,Ctrl,10.7,0.8,21,,,0.8,,64.4,
0.46,0.03,,,Ctrl,2.3,1.5,28.9,,,0.8,,89.6,
0.56,0.08,,,Ctrl,9.9,4.1,13,,,2.1,,18.4,
0.73,0.14,,,Ctrl,2.6,1.6,16,,,1.5,,25.8,
0.94,0.09,,,Ctrl,2.9,2.3,10.9,,,1.1,,27.6,
1.67,0.17,,,Ctrl,2.7,3.3,12.9,,,2.7,,48.2,
2.62,0.28,,,Ctrl,8,3.2,10.9,,,2.7,,11.6,
1.49,0.25,,,Ctrl,,,,,,,,,
2.21,0.2,,,Ctrl,3.5,1.7,21.8,,,1.9,,27.3,
1.38,0.04,,,Ctrl,9.2,2.7,25.2,,,1.6,,38.5,
3.62,0.09,,,Ctrl,1.1,2.7,6.7,,,3,,7,
2.4,0.2,,,Ctrl,6.8,2.3,4.7,,,1.3,,11.8,
1.43,0.05,,,Ctrl,,,,,,,,,
0.99,0.04,,,Ctrl,8.8,2.8,12.1,,,1.1,,30,
2.16,0.27,,,Ctrl,8.5,2.6,13.8,,,1.3,,27.8,
2.85,0.31,,,Ctrl,3.1,2.4,90,,,1.9,,108.7,
3.82,1.38,,,Ctrl,6.2,0.9,37.7,,,2,,43.8,
1.76,0.3,,,Ctrl,16.9,1.4,2.2,,,1.7,,4.6,
3.69,0.65,,,Ctrl,4.2,1.2,254.2,,,4,,143.1,
1.5,0.07,,,Ctrl,9.6,2.5,4.1,,,3.1,,4.7,
1.54,0.28,,,Ctrl,,,,,,,,,
6.09,0.33,,,Ctrl,9,1.1,23.9,,,3.7,,42.1,
13.95,0.34,,,Ctrl,8.1,1.7,12.2,,,1.5,,21.2,
4.72,0.46,,,Ctrl,9.8,1.5,10.1,,,2.2,,11.9,
13.69,1.67,,,Ctrl,11.5,2,125.3,,,5,,56.9,
1.82,0.26,,,Ctrl,4.4,11.1,188.3,,,1.1,,420.3,
10.93,0.76,,,Ctrl,10,0.7,5.4,,,0.9,,15.6,
4.54,0.41,,,Ctrl,12.1,2.5,2.7,,,1.6,,7.1,
1.76,0.15,,,Ctrl,11.7,0.2,10.9,,,1,,25.8,
2.82,0.38,,,Ctrl,18.9,2.9,10.7,,,0.9,,35.4,
3.75,0.38,,,Ctrl,,,,,,,,,
20.48,4.7,,,Ctrl,8.5,1.5,99.8,,,1.6,,144.6,
4.97,0.27,,,Ctrl,10.6,1.1,3.2,,,1.4,,6.7,
10.71,0.3,,,Ctrl,21,3.6,249.2,,,1.4,,399.8,
8.23,0.45,,,Ctrl,7.5,3,22.6,,,1.1,,51.4,
8.64,2.15,,,Ctrl,17.1,6.4,212.1,,,1.9,,261.5,
4.86,0.89,,,Ctrl,9.2,0.9,10.8,,,1.8,,34,
17.44,1.02,,,Ctrl,13.4,1.8,9.9,,,0.8,,32.2,
12.94,0.91,,,Ctrl,,,,,,,,,
41.63,1.23,,,Ctrl,13.3,9.7,367.5,,,3.8,,222.7,
10.64,1.36,,,Ctrl,12,2.2,13.4,,,2.7,,13,
4.05,0.54,,,Ctrl,11.8,0.7,10.4,,,2.7,,9.1,
3.6,0.3,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
6.1,0.2,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
5.3,0.6,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
5.6,0.3,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
3.6,0.3,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
5.6,0.3,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
5.3,0.6,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
6.1,0.2,,,Ctrl,,41.7312,5311.92,,,2.2,5.8,,0
0.1,0.03,,,Ctrl,,20,200,,,1,2,,13
12.1,0.285773803,,,Ctrl,19.2,,,,,,,161,
24.8,0.898146239,,,Ctrl,19.2,,,,,,,161,
3.5,1.2,,,Ctrl,16.5,,5.7,,0.28,0.5,13.7,,
8.3,0.6,,,Ctrl,17.5,,5.1,,0.37,0.5,24.2,,
21.9,3.8,,,Ctrl,16.1,,299.5,,0.72,2.2,40.1,,
140.3,23.5,,,Ctrl,16,,4460.5,,6.52,1720.5,2402.5,,
11.8,3.8,,,Ctrl,,35,43,,,1,11,,90
8.9,1.5,,,Ctrl,,35,43,,,1,11,,0
8.6,0.7,,,Ctrl,,35,43,,,1,11,,50
0.85,0.33,,,Ctrl,,,,,,,,,0
22.365,20.005,,,Ctrl,,,,,,,,,83
0.85,0.33,,,Ctrl,,,,,,,,,0
0.85,0.33,,,Ctrl,,,,,,,,,0
1.7215,1.1085,,,Ctrl,,,,,,,,,3
22.365,20.005,,,Ctrl,,,,,,,,,83
22.365,20.005,,,Ctrl,,,,,,,,,83
22.365,20.005,,,Ctrl,,,,,,,,,83
7.2,2.4,,,Ctrl,0.5,,200,,,200,,,
4.8,3.6,,,Ctrl,29.9,,200,,,200,,,
19.2,4.8,,,Ctrl,6.6,,300,,,100,,,
41.3,3.2,,,Ctrl,12.2,,100,,,100,,,
0.41,0.03291,,,Ctrl,,,,,,,,,
0.29,0.04512,,,Ctrl,,,,,,,,,
19,1,,,Ctrl,,10.5,9.3,,,4.5,,,
2.41,0.42,,,Ctrl,19.8,17,270,,,20,,32.3,
2.41,0.42,,,Ctrl,19.8,17,270,,,20,,32.3,
2.03,0.71,,,Ctrl,14.2,16,189,,,20,,22.9,
2.03,0.71,,,Ctrl,14.2,16,189,,,20,,22.9,
2.02,0.49,,,Ctrl,21.4,22,600,,,46,,84.4,
1.08,0.09,,,Ctrl,16.6,14,144,,,4,,95.3,
2.02,0.49,,,Ctrl,21.4,22,600,,,46,,84.4,
8.82,1.23,,,Ctrl,19.8,19,140,,,8,,50.3,
1.08,0.09,,,Ctrl,16.6,14,144,,,4,,95.3,
8.82,1.23,,,Ctrl,19.8,19,140,,,8,,50.3,
3.4,0.790569415,,,Ctrl,,,827.1,,,14.2,30.4,,60
11,1.264911064,,,Ctrl,,,1086.8,,,22.7,37.8,,
6.4,2.213594362,,,Ctrl,,,788.2,,,11.4,42.3,,10
12.4,3.16227766,,,Ctrl,,13.6,711.2,,,24.6,64.3,,60
17.6,2.150348809,,,Ctrl,,18.5,250.3,,,24,65.7,,10
6.6,0.474341649,,,Ctrl,,9.5,926.9,,,34.2,71.7,,
1.5,3,,,Ctrl,,,,,,,,,
1.5,3,,,Ctrl,,,,,,,,,
9.1,2.5,,,Ctrl,,,,,,,,,
7,4,,,Ctrl,,,,,,,,,
3.8,3.3,,,Ctrl,,,,,,,,,
9.1,2.5,,,Ctrl,,,,,,,,,
7,4,,,Ctrl,,,,,,,,,
26.2,3.8,,,Ctrl,,,,,,,,,
13.4,6.8,,,Ctrl,,,,,,,,,
18.7,4.5,,,Ctrl,,,,,,,,,
26.2,3.8,,,Ctrl,,,,,,,,,
13.4,6.8,,,Ctrl,,,,,,,,,
3.8,3.3,,,Ctrl,,,,,,,,,
18.7,4.5,,,Ctrl,,,,,,,,,
42.8,37.9,,,Ctrl,,,,,,,,,
42.8,37.9,,,Ctrl,,,,,,,,,
23.8,17.6,,,Ctrl,,,,,,,,,
23.8,17.6,,,Ctrl,,,,,,,,,
3.1,0.316227766,,,Ctrl,,16.6,301.1,,,68.7,116.7,,
4.8,0.537587202,,,Ctrl,,15.7,252.4,,,60.7,119.8,,60
1.8,0.063245553,,,Ctrl,,34.5,574.2,,,72.1,127.9,,
20.8,1.454647724,,,Ctrl,,25.8,226.7,,,41.9,127.9,,10
9.9,1.1,,,Ctrl,23,15.45432,77.469,,,9.506286415,,21.1,
24,3.1,,,Ctrl,12.4,5.280226,82.78116,,,10.11959522,,15.3,
11.6,0.9,,,Ctrl,15.5,3.86358,10.18164,,,10.11959522,,3.6,
9.4,1.6,,,Ctrl,14.3,5.537798,240.81792,,,11.03955842,,36.1,
7.8,2.2,,,Ctrl,7.2,6.052942,18.59256,,,24.53235204,,2.5,
48.7,11.7,,,Ctrl,13.1,2.833292,262.06656,,,39.86507206,,10.5,
20.7,5.3,,,Ctrl,23,7.72716,39.8412,,,42.93161607,,2.4,
4.8,1.1,,,Ctrl,9.8,3.606008,60.20448,,,5.519779209,,20.2,
2.4,0.6,,,Ctrl,7.2,4.249938,10.18164,,,8.892977614,,4.3,
2.8,0.9,,,Ctrl,22,4.249938,739.2756,,,43.85157927,,26.4,
8.3,0.569209979,,,Ctrl,,49.3,403.1,,,52.3,130.1,,10
3.9,0.158113883,,,Ctrl,,36.2,332.1,,,94.1,141.4,,60
19.3,1.264911064,,,Ctrl,,,,,,,,,
12.4,0.55,,,Ctrl,,5,120,,,,7,39,6
18,3.9,,,Ctrl,,9,110,,,,9,29,3
2.2,0.35,,,Ctrl,,10,2,,,,9,3,6
20.1,2.35,,,Ctrl,,12,18,,,,12,6,6
13.5,2.75,,,Ctrl,,40,110,,,,13,26,12
142.7,15.75,,,Ctrl,,17,90,,,,14,17,3
3.7,1.25,,,Ctrl,,10,2,,,,14,2,24
7.3,0.75,,,Ctrl,,6,3,,,,16,1,13
13.2,1.8,,,Ctrl,,21,89,,,,24,10,4
7,1.7,,,Ctrl,,20,3,,,,28,2,13
107.9,0.01,,,Ctrl,,20,1360,,,,62,49,7
93.3,0.01,,,Ctrl,,37,1610,,,,100,36,7
20.2,4.2,,,Ctrl,,250.3,632.1,,,19.3,,,
143.2,8.4,,,Ctrl,,32.1,160.4,,,12.8,,,
141.6,10.5,,,Ctrl,,19.3,179.7,,,9.6,,,
81.7,6.3,,,Ctrl,,70.6,301.6,,,9.6,,,
0.9,0.01,,,Ctrl,19.2,16.7,369.9,390,,12.7,,72.4,
0.9,0.01,,,Ctrl,19.2,16.7,369.9,390,,12.7,,72.4,
21.1,6.1,,,Ctrl,19.2,16.7,369.9,390,,12.7,,72.4,
4.6,0.4,,,Ctrl,13.5,8.4,228.6,238.8,,22.9,,23.6,
13.2,4.8,,,Ctrl,13.5,8.4,228.6,238.8,,22.9,,23.6,
4.6,0.4,,,Ctrl,13.5,8.4,228.6,238.8,,22.9,,23.6,
14.5,4.2,,,Ctrl,12.1,4.1,133.9,140.3,,16.6,,20.8,
7.3,3.3,,,Ctrl,19.8,20.5,791.3,817,,15.4,,123.9,
4.1,0.9,,,Ctrl,18.8,9.3,397.6,418.3,,14,,72.7,
4.1,0.9,,,Ctrl,18.8,9.3,397.6,418.3,,14,,72.7,
14.5,4.2,,,Ctrl,12.1,4.1,133.9,140.3,,16.6,,20.8,
26.4,3.2,,,Ctrl,18.2,9.6,533.3,547.8,,38,,36,
21.1,6.1,,,Ctrl,19.2,16.7,369.9,390,,12.7,,72.4,
13.2,4.8,,,Ctrl,13.5,8.4,228.6,238.8,,22.9,,23.6,
7.3,3.3,,,Ctrl,19.8,20.5,791.3,817,,15.4,,123.9,
26.4,3.2,,,Ctrl,18.2,9.6,533.3,547.8,,38,,36,
18.2,5.2,,,Ctrl,19.8,20.5,791.3,817,,15.4,,123.9,
18.2,5.2,,,Ctrl,19.8,20.5,791.3,817,,15.4,,123.9,
3.1,0.3,,,Ctrl,,,,,,,,,
5.6,0.8,,,Ctrl,,,,,,,,,
4.2,0.4,,,Ctrl,,,,,,,,,
4.4,0.4,,,Ctrl,10,,,,,,,,
11.9,0.9,,,Ctrl,,,,,,,,,
6.2,1.7,,,Ctrl,9.5,,,,,,,,
30.8,2.4,,,Ctrl,,,,,,,,,
21,6.8,,,Ctrl,9.5,,,,,,,,
12.3,2.8,,,Ctrl,9,,,,,,,,
4.3,1.6,,,Ctrl,9,,,,,,,,
15.1,9.3,,,Ctrl,9,,,,,,,,
24,1.4,,,Ctrl,,,,,,,,,
1.2,0.2,,,Ctrl,9.5,,,,,,,,
1.6,0.5,,,Ctrl,5,,,,,,,,
13,1.5,,,Ctrl,5,,,,,,,,
4.4,0.6,,,Ctrl,9.5,,,,,,,,
5.8,0.5,,,Ctrl,5,,,,,,,,
5,0.5,,,Ctrl,8.5,,,,,,,,
3.2,0.5,,,Ctrl,8.5,,,,,,,,
7.5,2.5,,,Ctrl,11,,,,,,,,
1.9,1.3,,,Ctrl,9,,,,,,,,
4.5,0.5,,,Ctrl,13,,,,,,,,
13.9,2.5,,,Ctrl,5,,,,,,,,
3.7,0.5,,,Ctrl,9.5,,,,,,,,
4.1,2.9,,,Ctrl,8,,,,,,,,
8.5,3,,,Ctrl,11,,,,,,,,
4,1,,,Ctrl,8.5,,,,,,,,
3.3,0.5,,,Ctrl,9.5,,,,,,,,
6.7,1.4,,,Ctrl,8,,,,,,,,
5,2.1,,,Ctrl,9,,,,,,,,
1.3,0.8,,,Ctrl,9.5,,885.32,,,3.1,,,
5.5,0.8,,,Ctrl,11,,442.66,,,3.1,,,
4.9,1.3,,,Ctrl,12.5,,442.66,,,3.1,,,
19.5,1.2,,,Ctrl,15,,9295.86,,,34,,,
7.1,1.2,,,Ctrl,15,,1770.64,,,3.1,,,
15.3,1.3,,,Ctrl,15,,442.66,,,3.1,,,
7.5,0.7,,,Ctrl,13.5,,885.32,,,3.1,,,
2.28,0.32,,,Ctrl,16.1,5.1,12,,,5.1,,7.7,
3.58,0.17,,,Ctrl,18.6,15.3,17.3,,,8.3,,8.7,
3.39,0.12,,,Ctrl,17.9,8,2.9,,,3.1,,4,
3.19,0.06,,,Ctrl,13.7,8,9.5,,,5.9,,10.2,
3.7,0.07,,,Ctrl,17.5,8.3,15.5,,,8.3,,7.1,
3.88,0.06,,,Ctrl,16.9,8.6,14.7,,,6.6,,7.3,
3.39,0.04,,,Ctrl,19,16.4,16.4,,,11.7,,5.7,
2.84,0.08,,,Ctrl,17.4,2.2,23.9,,,10.4,,22.3,
3.29,0.22,,,Ctrl,16.1,2.1,7.8,,,2.1,,3.2,
1.89,0.21,,,Ctrl,9.8,17.1,9,,,5.1,,11.1,
3.58,0.08,,,Ctrl,18.7,15.4,13.6,,,6.9,,8.7,
3.44,0.11,,,Ctrl,18.2,1.9,8.6,,,5.3,,5.3,
1.91,0.11,,,Ctrl,13,12.4,8.8,,,2.1,,10,
3.11,0.11,,,Ctrl,18.2,2.6,9.8,,,7.4,,4,
3.25,0.14,,,Ctrl,16,6.1,11.5,,,7.7,,7.2,
2.61,0.12,,,Ctrl,13.9,11.5,12.6,,,3.8,,13.4,
2.72,0.19,,,Ctrl,0,14.4,11,,,5.3,,10.3,
2.59,0.13,,,Ctrl,10.3,9,10,,,3,,8.1,
3.14,0.16,,,Ctrl,17,9.3,15.3,,,8.4,,8,
2.58,0.2,,,Ctrl,11.1,11.1,5.1,,,3.5,,10.1,
2.99,0.21,,,Ctrl,17,12.3,10,,,8.7,,4.8,
2.4,0.21,,,Ctrl,4,13.1,8.5,,,4.5,,8.9,
2.37,0.14,,,Ctrl,4.2,15.4,,,,5.1,,12.8,
2.2,0.07,,,Ctrl,5,8.4,8.4,,,3.5,,8.9,
2.36,0.32,,,Ctrl,0,13.6,16.9,,,5.9,,11.5,
2.94,0.29,,,Ctrl,10.5,2.8,7.2,,,6.1,,3.7,
2.85,0.29,,,Ctrl,2.7,10.6,14.6,,,4.4,,14.7,
2.8,0.11,,,Ctrl,16.2,5.1,15.1,,,10.1,,6.9,
2.76,0.18,,,Ctrl,10.1,10.6,7.7,,,1.8,,13.9,
3.07,0.13,,,Ctrl,17.5,6,19.6,,,8,,3.9,
43.2,4.8,0.322222398,0.027085035,N,29.13,,,,,,,18.07,0
30.8,3.6,0.212646887,0.034564552,N,30.4,,,,,,,17.61,14.97
91.7,4.2,0.144024011,0.00404088,N,28.55,,,,,,,17.75,41.49
116,11.7,0.597837001,0.01901741,N,29.45,,,,,,,22.64,22.33
68.4,5.9,0.066489741,0.009786515,N,30.39,,,,,,,16.19,38.36
70.3,3.7,0.199249231,0.004807602,N,30.73,,,,,,,22.5,3.76
62.2,6.2,0.355297849,0.011640197,N,28.93,,,,,,,19.27,8.85
30.8,4.2,0.150369957,0.043714301,N,30.74,,,,,,,21.62,1.03
64.2,9.7,0.138438831,0.040829386,N,32.4,,,,,,,17.2,27.03
68.9,9.7,0.064441767,0.026299565,N,30.41,,,,,,,21.8,6.96
88.5,8.2,0.244557646,0.012258112,N,28.66,,,,,,,14.56,18.62
61.6,3.8,0.100681724,0.015409031,N,29.48,,,,,,,15.87,1.48
123.5,6.1,0.644935553,0.005699909,N,27.13,,,,,,,19.34,38.04
136.1,12.6,0.710190943,0.014156699,N,31.52,,,,,,,18.44,2.72
93,6.8,0.055262679,0.008321489,N,29.43,,,,,,,17.11,52.18
93.5,6.8,0.116714088,0.008900804,N,28.41,,,,,,,21.73,21.29
73.7,9.4,0.133337575,0.019558164,N,29.4,,,,,,,22.47,19.14
39.9,4.9,0.078164773,0.043312849,N,29.1,,,,,,,23.51,14.06
82.3,5.5,0.597064075,0.009456106,N,,,,29.9,0.424,43.2,64.9,14.5,
1318.2,409.1,-0.488130332,0.138900106,N,,,,508.1,1.824,94.1,118,34.2,15.8
108,2.3,0.05031911,0.009745967,N,,,,208,0.79,107.3,136.6,12.8,37.2
217.4,36.1,1.282406871,0.030568693,N,,,,599.9,1.278,176.8,247.7,11.4,73.6
70.8,4.3,-0.372926352,0.013341546,N,,,,4090.6,4.49,308,371.8,26.7,40
36.6,7.7,-1.09038179,0.052525265,N,,,,3270.3,3.537,319.7,398,19.7,66
0.32,0.018973666,-0.060624622,0.010522545,N,23.2,148,27,,,9,,428,
0.42,0.044271887,-0.133531393,0.025173611,N,22.35,371,167,,,27,,131,
1.85,0.142302495,0.120489397,0.014843706,N,18.8,289.5,57,,,15,,60,
3.88,0.588183645,-0.202309464,0.032299216,N,20.35,576,29,,,54,,89,
2.95,0.313065488,0.284297974,0.018325425,N,20.2,798.5,30,,,22,,55,
2.83,0.237170825,0.054459917,0.015065317,N,18.2,194,25,,,15,,52,
2.32,0.085381497,0.062242309,0.003932059,N,16.6,67,17,,,13,,13,
2.01,0.360499653,-0.492752843,0.060785142,N,18.5,388.5,27,,,26,,104,
2.05,0.145464772,0.395756294,0.010081307,N,21.5,161,25,,,34,,28,
7.22,1.388239893,0.006949298,0.053104614,N,18.5,388.5,27,,,26,,104,
22.1,0.87911319,0.167588987,0.00442291,N,20.2,798.5,30,,,22,,55,
2.09,0.164438438,0.351901665,0.01556143,N,16.6,67,17,,,13,,13,
19.48,1.299696118,0.052158253,0.010748906,N,18.2,194,25,,,15,,52,
14.07,0.515451259,-0.291406472,0.008938966,N,20.35,576,29,,,54,,89,
36.44,1.201665511,0.029520384,0.002077304,N,18.8,289.5,57,,,15,,60,
10.79,1.043551628,0.585195031,0.015417947,N,21.5,161,25,,,34,,28,
14.76,2.01437087,0.284975711,0.038915984,N,23.2,148,27,,,9,,428,
6.66,1.220639177,0.185931669,0.041858174,N,22.35,371,167,,,27,,131,
0.8,0.1,0.133531393,0.020727041,N,,14.69,,,,0.48,,,
,,,,N,10.2,1.8,2.3,,,0.05,,,
,,,,N,10.2,0.93,1.4,,,0.85,,,
,,,,N,10.2,0.93,1.4,,,0.85,,,
,,,,N,10.2,1.8,2.3,,,0.05,,,
,,,,N,10.2,0.93,1.4,,,0.85,,,
,,,,N,10.2,1.8,2.3,,,0.05,,,
,,,,N,18.6,5,70,,176.7,,,,
,,,,N,3.2,5.7,126.7,,226.7,4.2,,,
72.2,22.65,0.513599551,0.105168046,N,17.8,,,,1.77,,21,,54
38.9,4.6,0.09428243,0.076483518,N,11.9,,,,4.76,,35,,44
43.9,8.3,-0.061829845,0.094814749,N,13.8,,,,0.895,,61,,72
2.35,0.79,0.250099361,0.113025342,N,8.53,,,,,,,,12
17.3,3.4,0.204531704,0.054921712,N,8.53,,,,,,,,12
17.4,3.9,0.196210669,0.069798671,N,8.53,,,,,,,,12
18.7,9.4,-0.062196208,0.362678168,N,8.53,,,,,,,,12
203.9,28.6,-0.454745589,0.024578146,N,9.65,,3410,,,3.9,,,13.5
110.6,28.7,-0.320588554,0.074953078,N,9.65,,3410,,,3.9,,,13.5
98,33.8,0.427648117,0.306868033,N,9.65,,3410,,,3.9,,,13.5
175.6,73.6,-0.10376471,0.211361274,N,9.65,,3410,,,3.9,,,13.5
2.3,0.8,0.570544858,0.215657543,N,,,,6.9,0.09,2.5,6.25,25,
8.9,4,1.269760545,0.241994698,N,,,,23.1,0.5,30.8,62.15,20.5,
0.2,0.01,0,0.001,N,15,6.3,186.4,,,9.8,,,86.3
0.9,0.1,0.251314428,0.032753842,N,1,14.6,239.4,,,6.2,,,60.3
0.59,0.2,0,0.229819018,N,1,14.6,239.4,,,6.2,,,60.3
4,0.6,-0.405465108,0.029444444,N,3.1,4.3,308.2,,,3.5,,,36.8
0.9,0.3,-0.36772478,0.13477975,N,11.7,5.1,131.4,,,6.7,,,87
2.1,0.3,0.559615788,0.048185941,N,6.9,6.2,79.2,,,6.4,,,46.6
1.8,0.6,-0.476924072,0.187210992,N,15,6.3,186.4,,,9.8,,,86.3
1.8,0.4,-0.287682072,0.077160494,N,3.1,4.3,308.2,,,3.5,,,36.8
2.2,0.4,-0.167054085,0.0700401,N,2.5,8.1,170.6,,,2.2,,,54.5
13.3,1,-0.280134867,0.008268159,N,9.6,3.6,263.3,,,5.6,,,33.1
4,0.8,-0.354171814,0.109252078,N,2.5,8.1,170.6,,,2.2,,,54.5
1.2,0.6,0.087011377,0.382231405,N,11.7,5.8,627.9,,,6.6,,,85.3
6.7,1.7,-0.043802623,0.084787758,N,6.5,3.8,164.9,,,4.8,,,42
9.9,0.4,0.140772554,0.005012692,N,11.7,5.8,627.9,,,6.6,,,85.3
10.3,2.8,0.06001801,0.169552617,N,11.7,5.1,131.4,,,6.7,,,87
22.2,2,-0.056908132,0.022312693,N,9.6,3.6,263.3,,,5.6,,,33.1
8,2.7,0.826678573,0.195538903,N,6.9,6.2,79.2,,,6.4,,,46.6
11.2,2.8,0.826678573,0.144132653,N,6.5,3.8,164.9,,,4.8,,,42
0.1,0.3,-2.564949357,9.213017751,N,17.8,,486.926,,,10,,25,
76.1,0.3,0.153056229,1.00E-04,N,18,,5311.92,,,250,,11,
75.8,14.3,0.11449031,0.043733125,N,17.5,,250,,,10,,,
55.7,6,0.184838186,0.028961503,N,17.5,,250,,,10,,,
45.7,7.2,0.138231386,0.059391595,N,17.5,,250,,,10,,,
81.1,12.1,0.634482845,0.031351599,N,17.5,,250,,,10,,,
99.9,14,0.676273331,0.024661269,N,17.5,,250,,,10,,,
117.4,18.3,0.305442493,0.05162776,N,17.5,,250,,,10,,,
0.1,0.05,-2.564949357,0.463017751,N,17.8,,486.926,,,10,,25,
79.6,0.7,0.198022057,0.00016176,N,18,,5311.92,,,250,,11,
32.5,5.2,0.403927829,0.039955794,N,21.1,7,0,13,0.07,4.9,4.4,20.3,86.5
56.9,2.6,0.523797504,0.008040288,N,24.5,13.7,0,21.1,0.11,4.4,6.1,25.5,48.3
138.5,13.7,0.503631348,0.027056241,N,22.9,22.1,50.2,84.7,0.16,5.1,7.1,43.8,29
102.2,5.4,0.991980566,0.007866962,N,25.2,23.1,0,27.9,0.05,4.3,7.3,8.7,28.7
145.9,13.3,0.088071194,0.040312265,N,20.2,16.8,370.5,405.7,0.47,6.9,7.5,115,27
49.8,7.9,0.64607967,0.06485899,N,22.8,13.4,424.7,450.7,0.54,5.5,11.7,90.6,38.8
50.2,2.6,-0.137507541,0.011149053,N,24.5,20.9,117.2,149.4,0.86,5.7,30.7,57.1,16.9
199.1,16,0.645577536,0.009035207,N,21.7,12.6,19.3,41,0.25,14.7,58,9.1,37.8
289.7,16.1,1.374285296,0.008515798,N,23.2,16.5,15.5,48.9,0.05,9.1,63.4,14.3,50.3
373.3,37.4,0.571947065,0.029375299,N,25.8,21.6,280.2,308.8,0.58,50.2,107,11.4,25.6
417.7,36.9,0.073758132,0.01122697,N,24.6,30.2,484.1,526.7,0.81,73.1,138.4,12.3,27.3
21.8,2.9,0.260531083,0.026766617,N,,,,,,,,,7.8
15,2,0.143100844,0.165706772,N,17.1,,67.8,,0.073,,6,12.1,28
13,4,0.262364264,0.184674556,N,10,,12.8,,0.04,,6,6.4,70
5,1,-0.693147181,0.13,N,12.6,,60.5,,0.082,,6,14.9,24
14,2,0,0.040816327,N,10.3,,27.6,,0.048,,7,6.9,70
9,2,0.587786665,0.049383516,N,11.2,,72.5,,0.082,,7,11.6,9
8,1,0.693147181,0.078125,N,18.6,,13.4,,0.064,,7,9.6,70
12,2,-0.733969175,0.042177778,N,9,,167.1,,0.135,,7,18.1,30
14,9,0.559615788,0.803890306,N,15.9,,2.4,,0.29,,8,36.1,58
8,2,-0.223143551,0.0725,N,17,,38.3,,0.072,,9,8.4,47
10,1,-0.336472237,0.030408163,N,12.3,,52.8,,0.068,,9,8,0
11,2,-0.167054085,0.05672649,N,14.9,,34.9,,0.073,,10,7.7,46
27,8,0.897941593,0.120849346,N,7.1,,12.7,,0.03,,10,3.4,5
43,2,0.670157662,0.076543497,N,6.4,,6.3,,0.04,,11,3.5,67
25,7,0.274436846,0.103330748,N,17.3,,2.8,,0.154,,11,14.3,42
24,5,0.613104473,0.096657216,N,14.7,,9.6,,0.096,,11,9.2,9
31,5,-0.062520357,0.059072419,N,17.3,,1.5,,0.109,,12,9.5,5
24,3,0.344840486,0.046766869,N,14.8,,6.3,,0.078,,12,6.8,9
55,21,0.343771539,0.169453763,N,14.8,,4.9,,0.097,,12,8.3,3
5,0.01,0.223143551,0.062502,N,13,,74.5,,0.206,,20,10.5,5
2.7,2,2.266217449,0.70303358,N,18,,12.2,,,3.6,,,
,,,,N,10.1,73.98,182.9,,,7.6,8.05,36.88,
35.8,4.5,1.380723316,0.051479081,N,10.3,79.74,201.5,,,7.6,11.15,40.62,
,,,,N,11.5,83.16,226.3,,,7.6,12.08,45.62,
10.2,1.592168333,0.182321557,0.036568627,N,,,,,,,,,
27.3,3.306811153,0.096043049,0.022284112,N,,,,,,,,,
13.1,1.1,0.420850027,0.010431077,N,23.9,46.44,1976.03424,,,6.13,92.91,4.7,
,,,,N,18.6,,,,0.441,,6,163,0.6
,,,,N,18.6,,,,0.441,,6,163,60
,,,,N,14.6,,,,0.457,,7,145,0.6
,,,,N,14.6,,,,0.457,,7,145,60
9.66,1.303977432,0.182321557,0.032332362,N,,,0.1,1.2,0.062,1.1,18.6,,
15.87,1.477841089,-0.16034265,0.011306263,N,,,5.2,8.3,0.079,1.7,19.8,,
24.08,2.857411416,0.327212911,0.017091228,N,,,0.1,1.2,0.077,1.3,20,,
