Ref,PDF,Source,Site Name,Site Location,Ecoregion,Landmarks,Latitude,Latitude Converted,Latitude_GoogleEarth,Longitude_GoogleEarth,Chla_Instrument,Chla_Extraction,Chla_Acidification,Base,Substrate,Substrate Sub-category,NDS Category,NDS Sub-category,Orientation to surface,Starting Replicates,Days,Agar Percent,Nitrogen Molarity,Nitrogen Source,Phosphorus Molarity,Phosphorus Source,Design,Year,Season,Month,Order,Order Code,Catchment_km2,Stream Substrate,Substrate Code,Koppen 1st,Koppen full,Elevation_m,Depth_m,Velocity_m_sec,Slope_percent,Discharge_m3_sec,Turbidity_NTU,Primary Land Use,Secondary Land Use,Canopy_Percent,Canopy_Qual,Temp_C,pH,Cond_uS_cm,DO_mg_L,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Control_mean_mg_m2,Control SE,Control SD,Control Count,N_mean_mg_m2,N SE,N SD,Nitrogen Count,N Tstat,N Pval 1Tail,N Lim,N Pval 2Tail,N LRR Effect,N LRR Variance,P_mean_mg_m2,P SE,P SD,Phosphorus Count,P Tstat,P Pval 1Tail,P Lim,P Pval 2Tail,P LRR Effect,P LRR Variance,NP_mean_mg_m2,NP SE,NP SD,NP Count,NP Tstat,NP Pval 1Tail,NP Lim,NP Pval 2Tail,NP LRR,NP LRR Variance,Macroinverts Collected,Macroinverts Excluded,NDS Treatment,Independence Issues,Red Flags,Purpose,Notes,Page
Dube 1997,Yes,Web of Science 1st Searches,Thompson River,British Columbia,North American Deserts,,,,51,-120,Fluorometer,90% Ethanol,No,Clay Pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,12,16,,NA,,0.5,KH2PO4,Random,1994,Fall,August,NA,,55000,,,B,BSk,,,,,,,,,,,18.6,7.8,,,5,70,,176.7,,,,28,3.9,13.5099963,12,,,,,,,,,,,46,9.8,33.94819583,12,-1.706563667,0.050990742,No,0.101981484,0.496436886,0.064788034,,,,,,,,,,,Yes,,Effects of pulp mill discharges,No,Yes,Interested in effects of pulp mill discharges; also tested NDS with malathion ,Paper mentions losing some NDS but no revised sample sizes,
Dube 1997,Yes,Web of Science 1st Searches,Thompson River,British Columbia,North American Deserts,,,,51,-120,Fluorometer,90% Ethanol,No,Clay Pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,12,27,,NA,,0.5,KH2PO4,Random,1993,Winter,March,NA,,55000,,,B,BSk,,,,,,,,,,,3.2,7.6,,,5.7,126.7,,226.7,4.2,,,139.5,11.6,40.18357874,12,,,,,,,,,,,135.7,9.5,32.90896534,12,0.253440364,0.401140663,No,0.802281327,-0.027618034,0.01181564,,,,,,,,,,,Yes,,Effects of pulp mill discharges,No,Yes,Interested in effects of pulp mill discharges; also tested NDS with malathion ,Paper mentions losing some NDS but no revised sample sizes,
Eckert 2014,Yes,Web of Science 1st Searches,Mesotrophic,Pennsylvania,Northern Forests,Lat Long,"40.35'7.4""",40.585389,41,-78,Fluorometer,Acetone and Dimethyl sulfoxide,Yes,Clay Pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,4,35,,0.5,NaNO3,0.05,NaHPO4,Random,2010,Summer,August September,NA,,,,,D,Dfa,,0.3,,,1.28,,,,54,,17.8,8.19,290.6,,,,,1.77,,21,,43.2,3.55,7.1,4,72.2,22.65,45.3,4,-1.264911064,0.126405057,No,0.252810113,0.513599551,0.105168046,770.1,8.15,16.3,4,-81.7697023,1.13E-10,Yes,2.25E-10,2.880679881,0.006864884,81.4,7.45,14.9,4,-4.628858066,0.001790987,Yes,0.003581975,0.633534778,0.015129405,Yes,No,Effects of eutrophication gradient ,No,No,Gradient of nutrient concentrations in natural streams,Nutrients are averaged from past year of sampling; converted sd to SE,
Eckert 2014,Yes,Web of Science 1st Searches,Hypertrophic,Pennsylvania,Eastern Temperate Forests,Lat Long,"40.49'19.9""",40.82216667,41,-78,Fluorometer,Acetone and Dimethyl sulfoxide,Yes,Clay Pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,4,35,,0.5,NaNO3,0.05,NaHPO4,Random,2010,Summer,August September,NA,,,,,D,Dfa,,0.3,,,0.65,,,,44,,11.9,7.54,404.4,,,,,4.76,,35,,35.4,8.85,17.7,4,38.9,4.6,9.2,4,-0.350909155,0.368824505,No,0.737649009,0.09428243,0.076483518,30.4,4.35,8.7,4,0.507033161,0.315111175,No,0.63022235,-0.152269212,0.082975351,48.1,13.45,26.9,4,-0.788797053,0.230126626,No,0.460253252,0.306570357,0.140690577,Yes,No,Effects of eutrophication gradient ,No,No,Gradient of nutrient concentrations in natural streams,Nutrients are averaged from past year of sampling; converted sd to SE,
Eckert 2014,Yes,Web of Science 1st Searches,Eutrophic,Pennsylvania,Eastern Temperate Forests,Lat Long,"40.51'32.4""",40.85833333,41,-78,Fluorometer,Acetone and Dimethyl sulfoxide,Yes,Clay Pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,4,35,,0.5,NaNO3,0.05,NaHPO4,Random,2010,Summer,August September,NA,,,,,D,Dfa,,0.3,,,2.94,,,,72,,13.8,7.96,378.5,,,,,0.895,,61,,46.7,11.35,22.7,4,43.9,8.3,16.6,4,0.19913196,0.424368119,No,0.848736238,-0.061829845,0.094814749,39.6,8.15,16.3,4,0.508122456,0.314751314,No,0.629502628,-0.164915046,0.101425741,53.8,17.35,34.7,4,-0.342454131,0.371843497,No,0.743686993,0.141529302,0.16306903,Yes,No,Effects of eutrophication gradient ,No,No,Gradient of nutrient concentrations in natural streams,Nutrients are averaged from past year of sampling; converted sd to SE,
Elsaholi 2011,Yes,Web of Science 1st Searches,Glencree,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.3,,,,,,,,Open,7.5,,60,,1.26,1798,,,28.5,,90.8,141.9,14,28,4,205.9,21,42,4,-2.535772326,0.022166508,Yes,0.044333015,0.37226803,0.020136215,269.6,35,70,4,-3.387613526,0.007359442,Yes,0.014718884,0.641816795,0.02658774,348.7,7,14,4,-13.21196736,5.81E-06,Yes,1.16E-05,0.89908937,0.010136987,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Vartry,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.05,,,,,,,,Open,8,,73,,18,1178,,,28.5,,62,181.5,4,8,4,204,4.1,8.2,4,-3.928071668,0.003864933,Yes,0.007729866,0.11686434,0.00088963,219,10.1,20.2,4,-3.452008549,0.006799764,Yes,0.013599528,0.187816076,0.002612635,237.7,6,12,4,-7.793537757,0.000117583,Yes,0.000235166,0.269753721,0.001122852,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Redcross,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.5,,,,,,,,Closed,8.5,,230,,54,3658,,,107.3,,54.8,88.3,3.5,7,4,68.5,1.8,3.6,4,5.030828139,0.001189181,No,0.002378363,-0.253906362,0.00226164,49.9,1.7,3.4,4,9.868889511,3.12E-05,No,6.24E-05,-0.570719105,0.002731777,58.9,1.8,3.6,4,7.470017539,0.000148514,No,0.000297027,-0.404899017,0.002505069,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Glencree,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.3,,,,,,,,Open,7.5,,60,,1.26,1798,,,28.5,,90.8,141.9,14,28,4,221.9,28,56,4,-2.55550626,0.021584581,Yes,0.043169162,0.447104246,0.025656139,334.6,8.7,17.4,4,-11.69081768,1.18E-05,Yes,2.36E-05,0.857813204,0.010410061,335,24.5,49,4,-6.8431735,0.000239376,Yes,0.000478752,0.859007948,0.015082629,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Glencree,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.3,,,,,,,,Open,7.5,,60,,1.26,1798,,,28.5,,90.8,141.9,14,28,4,244.5,10.5,21,4,-5.862857143,0.000544285,Yes,0.00108857,0.544092725,0.011578253,332.6,15.8,31.6,4,-9.033553278,5.15E-05,Yes,0.000103086,0.851817983,0.011990677,387.3,33.3,66.6,4,-6.79340657,0.000248996,Yes,0.000497992,1.004077002,0.017126535,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Glencree,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.3,,,,,,,,Closed,7.5,,60,,1.26,1798,,,28.5,,90.8,56.9,3.5,7,4,69.3,3.5,7,4,-2.50517831,0.023101737,Yes,0.046203473,0.197149565,0.006334415,57.1,3.5,7,4,-0.040406102,0.484540168,No,0.969080337,0.003508776,0.007540851,36.4,1.7,3.4,4,5.268547786,0.000942923,No,0.001885845,-0.446726566,0.005964853,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Vartry,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.05,,,,,,,,Open,8,,73,,18,1178,,,28.5,,62,181.5,4,8,4,217.2,26.2,52.4,4,-1.346987604,0.113314737,No,0.226629474,0.179562934,0.015036367,215.6,20.1,40.2,4,-1.663889816,0.073595932,No,0.147191864,0.172169185,0.009177196,236.3,10.3,20.6,4,-4.959529886,0.001276727,Yes,0.002553453,0.26384653,0.00238567,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Redcross,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.5,,,,,,,,Closed,8.5,,230,,54,3658,,,107.3,,54.8,88.3,3.5,7,4,80.8,8.6,17.2,4,0.807760182,0.225028909,No,0.450057818,-0.088763142,0.012899685,72.7,0.01,0.01,4,4.457138309,0.002148079,No,0.004296158,-0.194398723,0.001571144,57.6,5.3,10.6,4,4.83359689,0.00144981,No,0.00289962,-0.42721754,0.010037695,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Redcross,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.5,,,,,,,,Closed,8.5,,230,,54,3658,,,107.3,,54.8,88.3,3.5,7,4,88.3,1.7,3.4,4,0,0.5,No,1,0,0.0019418,60.9,2.9,5.8,4,6.028168791,0.000470553,No,0.000941106,-0.371506933,0.003838713,59.5,5.2,10.4,4,4.594639833,0.001856438,No,0.003712877,-0.394763795,0.009209018,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Vartry,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.05,,,,,,,,Closed,8,,73,,18,1178,,,28.5,,62,64.8,1.9,3.8,4,127.4,11.8,23.6,4,-5.237622708,0.00097142,Yes,0.001942839,0.67602614,0.009438493,185.5,9.9,19.8,4,-11.97340506,1.03E-05,Yes,2.06E-05,1.051749279,0.003708,89.4,6,12,4,-3.908703124,0.003952104,Yes,0.007904208,0.321815079,0.005364022,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Vartry,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.05,,,,,,,,Closed,8,,73,,18,1178,,,28.5,,62,64.8,1.9,3.8,4,163.8,7.8,15.6,4,-12.33172223,8.67E-06,Yes,1.73E-05,0.927340568,0.003127294,130.1,4,8,4,-14.74600526,3.06E-06,Yes,6.11E-06,0.696997782,0.001805011,80,4,8,4,-3.432454517,0.006964592,Yes,0.013929183,0.210721031,0.00335972,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Vartry,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.05,,,,,,,,Closed,8,,73,,18,1178,,,28.5,,62,64.8,1.9,3.8,4,60.9,2,4,4,1.413748896,0.10358062,No,0.207161239,-0.062072429,0.001938233,77.2,5.9,11.8,4,-2.000520494,0.046179837,Yes,0.092359675,0.175093854,0.006700481,58.7,1.9,3.8,4,2.270184929,0.031825775,No,0.06365155,-0.098865877,0.001907406,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Derry,Ireland,NA,Avg based on geographic area ,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.6,,,,,,,,Closed,8.5,,215,,18,3410,,,28.5,,186.6,30.8,10,20,4,33.4,5,10,4,-0.23255107,0.411919765,No,0.82383953,0.08104121,0.127824336,38,6.3,12.6,4,-0.609185893,0.282369729,No,0.564739458,0.21007147,0.132900216,12.1,0.01,0.01,4,1.869999766,0.055339426,No,0.110678853,-0.934309237,0.105414237,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Derry,Ireland,NA,Avg based on geographic area ,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.6,,,,,,,,Open,8.5,,215,,18,3410,,,28.5,,186.6,177.4,11.3,22.6,4,167.7,4.9,9.8,4,0.787551465,0.230464315,No,0.46092863,-0.056230401,0.004911158,170,7.4,14.8,4,0.547847628,0.301782176,No,0.603564351,-0.042608633,0.005952227,151.6,8.1,16.2,4,1.855682956,0.056448663,No,0.112897325,-0.157161597,0.00691219,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Derry,Ireland,NA,Avg based on geographic area ,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.6,,,,,,,,Open,8.5,,215,,18,3410,,,28.5,,186.6,177.4,11.3,22.6,4,154.8,6.5,13,4,1.733646839,0.066839676,No,0.133679352,-0.136273109,0.005820549,162.9,21,42,4,0.608037278,0.282726192,No,0.565452383,-0.085270554,0.020676093,156.5,8,16,4,1.509546715,0.090948984,No,0.181897967,-0.12535106,0.006670489,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Derry,Ireland,NA,Avg based on geographic area ,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.6,,,,,,,,Closed,8.5,,215,,18,3410,,,28.5,,186.6,30.8,10,20,4,52.7,4.9,9.8,4,-1.96659876,0.04840278,Yes,0.096805561,0.537100766,0.114059185,41,1.6,3.2,4,-1.007189445,0.176360336,No,0.352720671,0.286057377,0.106936969,18.1,4,8,4,1.179165397,0.141483765,No,0.28296753,-0.531602752,0.154252624,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Derry,Ireland,NA,Avg based on geographic area ,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.6,,,,,,,,Closed,8.5,,215,,18,3410,,,28.5,,186.6,30.8,10,20,4,38.5,5,10,4,-0.688708937,0.258368906,No,0.516737813,0.223143551,0.122280317,44,4.3,8.6,4,-1.212643328,0.135420613,No,0.270841226,0.356674944,0.114964686,21.3,1.7,3.4,4,0.936563054,0.192565724,No,0.385131449,-0.368807617,0.111784055,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Redcross,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.5,,,,,,,,Open,8.5,,230,,54,3658,,,107.3,,54.8,230,41.3,82.6,4,347.6,10.8,21.6,4,-2.754823692,0.016539909,Yes,0.033079818,0.412973084,0.033209024,165.3,12.5,25,4,1.499413579,0.092214024,No,0.184428048,-0.330317304,0.037962065,262.5,7.2,14.4,4,-0.775232529,0.233822934,No,0.467645868,0.132171773,0.032995994,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Redcross,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.5,,,,,,,,Open,8.5,,230,,54,3658,,,107.3,,54.8,230,41.3,82.6,4,297.6,19.8,39.6,4,-1.47595087,0.095206441,No,0.190412883,0.257670994,0.036670209,158.3,19.5,39,4,1.569886481,0.083747155,No,0.167494309,-0.373587342,0.047417923,185.7,44.6,89.2,4,0.728794892,0.246790031,No,0.493580063,-0.213946841,0.089926411,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Glencree,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.3,,,,,,,,Closed,7.5,,60,,1.26,1798,,,28.5,,90.8,56.9,3.5,7,4,72.7,1.7,3.4,4,-4.06063683,0.003322859,Yes,0.006645718,0.245046043,0.004330456,43.3,1.7,3.4,4,3.495231702,0.006450474,No,0.012900947,-0.273142706,0.005325079,54.1,5.4,10.8,4,0.435116363,0.339346591,No,0.678693183,-0.050461155,0.013746721,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Glencree,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.3,,,,,,,,Closed,7.5,,60,,1.26,1798,,,28.5,,90.8,56.9,3.5,7,4,64.6,3.6,7.2,4,-1.533572465,0.088014234,No,0.176028468,0.12691907,0.006889216,81.9,8.7,17.4,4,-2.665917945,0.018614392,Yes,0.037228785,0.36420365,0.015067853,55.7,0.01,0.01,4,0.342856793,0.371699491,No,0.743398982,-0.021315194,0.003783663,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Redcross,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.1,NaNO3,0.1,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.5,,,,,,,,Open,8.5,,230,,54,3658,,,107.3,,54.8,230,41.3,82.6,4,302.9,28.5,57,4,-1.452796684,0.098247753,No,0.196495506,0.275323409,0.041096682,222.8,37.6,75.2,4,0.12891204,0.450819974,No,0.901639948,-0.031804801,0.060724017,214.3,37.6,75.2,4,0.281099866,0.39403798,No,0.78807596,-0.070702406,0.063028114,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Derry,Ireland,NA,Avg based on geographic area ,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.05,NaNO3,0.05,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.6,,,,,,,,Open,8.5,,215,,18,3410,,,28.5,,186.6,177.4,11.3,22.6,4,198.4,9.7,19.4,4,-1.410126601,0.104088565,No,0.208177129,0.111878125,0.00644776,177.4,22.6,45.2,4,0,0.5,No,1,0,0.020287086,183.9,20.9,41.8,4,-0.273578134,0.396791259,No,0.793582519,0.035985062,0.016973449,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Elsaholi 2011,Yes,Web of Science 1st Searches,Vartry,Ireland,NA,City fit description,,,53,-6,Spectrophotometer,Ethanol,,Plastic Vial,Glass disc,Glass disc,Vial,Vial,Parallel,4,21,2,0.5,NaNO3,0.5,KH2PO4,Random,,Summer,"May, June",NA,,,Gravel,Small,C,Cfb,,0.05,,,,,,,,Open,8,,73,,18,1178,,,28.5,,62,181.5,4,8,4,213.7,10.2,20.4,4,-2.938954607,0.012991455,Yes,0.02598291,0.163317509,0.002763896,180.1,14.2,28.4,4,0.094898353,0.463742763,No,0.927485526,-0.007743402,0.006702246,185,26.3,52.6,4,-0.131566862,0.449813878,No,0.899627755,0.019100171,0.020695779,No,No,"Canopy cover, nutrient concentration",Yes,Yes,Testing nutrient limitation in Ireland streams and the within-stream effects of light ,Stream nutrient concentrations look really high; converted from mmol/L,
Francoeur 1999b,Yes,Web of Science 1st Searches,N. Kowai,South Island New Zealand,NA,,,,-43,172,Spectrophotometer,90% Ethanol,Yes,Steel box,Filter,Filter,Vial,Steel box,Parallel,5,18,2,0.5,NaNO3,0.05,Na2HPO4,,1995,Spring,October,3,Small,37.9,Gravel,Small,C,Cfb,,,,,,,Grassland,,,Open,6.8,,,,2.3,4.7,,,1.3,,11.8,2.4,0.2,0.447213595,5,8.47,1.32,2.95160973,5,-4.546593266,0.000941395,Yes,0.001882791,1.261061771,0.031231845,3.6,0.47,1.050951949,5,-2.349330986,0.023365017,Yes,0.046730034,0.405465108,0.023989198,6.67,0.26,0.581377674,5,-13.01732475,5.75E-07,Yes,1.15E-06,1.022151123,0.008463925,Yes,No,Season ,No,No,Interested in seasonal aspects of nutrient limitation ,Used Biggs et al. 1999 for Ecosystem,
