Ref,PDF,Source,Site Name,Site Location,Ecoregion,Landmarks,Latitude,Latitude Converted,Latitude_GoogleEarth,Longitude_GoogleEarth,Base,Substrate,Substrate Sub-category,NDS Category,NDS Sub-category,Orientation to surface,Starting Replicates,Days,Agar Percent,Nitrogen Molarity,Nitrogen Source,Phosphorus Molarity,Phosphorus Source,Design,Year,Season,Month,Order,Order Code,Catchment_km2,Stream Substrate,Substrate Code,Koppen 1st,Koppen full,Elevation_m,Depth_m,Velocity_m_sec,Slope_percent,Discharge_m3_sec,Turbidity_NTU,Primary Land Use,Secondary Land Use,Canopy_Percent,Canopy_Qual,Temp_C,pH,Cond_uS_cm,DO_mg_L,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Control_mean_mg_m2,Control SE,Control SD,Control Count,N_mean_mg_m2,N SE,N SD,Nitrogen Count,N LRR Effect,N LRR Variance,P_mean_mg_m2,P SE,P SD,Phosphorus Count,P LRR Effect,P LRR Variance,NP_mean_mg_m2,NP SE,NP SD,NP Count,NP LRR,NP LRR Variance,Macroinverts Collected,Macroinverts Excluded,NDS Treatment,Independence Issues,Red Flags,Purpose,Notes,Page
Atkinson 2013,Yes,Web of Science 1st Searches,MM2,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,29.4,,,19.14,,29.4,7.71,27.7,6.17,,,,,,,22.47,64.5,3.7,12.81717598,12,73.7,9.4,32.56255518,12,0.133337575,0.019558164,48.7,9.8,33.94819583,12,-0.280986194,0.043784999,79.3,10,34.64101615,12,0.206572905,0.019192736,No,No,High mussel density,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Atkinson 2013,Yes,Web of Science 1st Searches,MN1,Oklahoma,Eastern Temperate Forests,Map,,,34,-95,Plastic Cup ,Glass disc,Glass disc,Vial,Vial,Parallel,12,18,2,0.25,NaNO3,0.25,KH2PO4,Block,2010,Summer,June,NA,,,,,C,Cfa,,,,,,42.34,,,14.06,,29.1,7.59,31.4,6.89,,,,,,,23.51,36.9,6.2,21.47743001,12,39.9,4.9,16.97409791,12,0.078164773,0.043312849,51.9,6.8,23.55589098,12,0.341107239,0.045397838,47.9,11.9,41.22280922,12,0.260903953,0.089950856,No,No,Low mussel density ,No,No,Mussel effects on stream biota and nutrient cycling,,Paper + Supplemental Appendix
Bergey 2008,Yes,Web of Science 1st Searches,Rock Creek,Oklahoma,Great Plains,Arbuckle Mountains,,,34,-97,Petri Dish  ,Filter,Filter,Vial,Petri,Parallel,2,14,2,0.1,NaNO3,0.1,KH2PO4,Random,2004,Summer,August,2,Small,,"Granite Bedrock, coarse sand",,C,Cfa,,0.29,0,,,,,,10,,,8,430,,,,,,,,,48.4,4.9,6.929646456,2,66.7,9.4,13.29360749,2,0.320705139,0.030110605,126.2,4.5,6.363961031,2,0.958368136,0.011520941,142.2,3.4,4.808326112,2,1.077734704,0.010821158,No,No,No,No,No,Testing rocks as potential nutrient source,,
Biggs 1994,Yes,Web of Science,Biggs 94 3,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,3,Small,,,,C,Cfb,,,0.02,,0.0179,,,,,,17,,,,5,154,,,1,,159,4,0.7,1.4,4,2.6,0.7,1.4,4,-0.430782916,0.103110207,4.2,0.01,0.01,4,0.048790164,0.030626417,3.9,0.01,0.01,4,-0.025317808,0.030626644,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1994,Yes,Web of Science,Biggs 94 6,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,6,Large,,,,C,Cfb,,,0.22,,0.812,,,,,,,,,,5,11,,,1,,16,0.5,0.1,0.2,4,0.4,0.1,0.2,4,-0.223143551,0.1025,0.7,0.6,1.2,4,0.336472237,0.774693878,0.5,0.2,0.4,4,0,0.2,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1994,Yes,Web of Science,Biggs 94 8,New Zealand,NA,Map,,,-45,171,Plastic vial,Filter,Filter,Vial,Vial,Parallel,4,17,2,0.5,NaNO3,0.05,Na2HPO4,,2003,Summer,February,6,Large,,,,C,Cfb,,,,,,,,,,,,,,,,,,,,,,1.8,1.4,2.8,4,4,14.2,28.4,4,0.798507696,13.20743827,1.5,0.8,1.6,4,-0.182321557,0.889382716,0.9,0.2,0.4,4,-0.693147181,0.654320988,Yes,No,Longitudinal Placement,No,No,Grazer effects on nutrient limitation,Also had an experiment with a petroleum jelly exclusion treatment ,
Biggs 1994,Yes,Web of Science,Biggs 94 5,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,5,Large,,,,C,Cfb,,,0.14,,0.535,,,,,,16,,,,4,20,,,2,,12,2.3,0.3,0.6,4,3.2,2.1,4.2,4,0.330241687,0.447677295,1.7,0.4,0.8,4,-0.302280872,0.072376554,2.2,0.3,0.6,4,-0.044451763,0.035608274,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1994,Yes,Web of Science,Biggs 94 8,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,6,Large,,,,C,Cfb,,,0.08,,0.693,,,,,,17.3,,,,9,29,,,6,,9,0.5,0.1,0.2,4,1.1,0.3,0.6,4,0.78845736,0.114380165,1.1,0.1,0.2,4,0.78845736,0.048264463,1.5,0.4,0.8,4,1.098612289,0.111111111,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1994,Yes,Web of Science,Biggs 94 4,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,4,Large,,,,C,Cfb,,,0.21,,0.277,,,,,,17,,,,4,10,,,2.5,,6,2,0.9,1.8,4,3.6,0.6,1.2,4,0.587786665,0.230277778,3.8,3.4,6.8,4,0.641853886,1.003054017,5.5,1.9,3.8,4,1.011600912,0.321838843,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1994,Yes,Web of Science,Biggs 94 1,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,2,Small,,,,C,Cfb,,,,,0.00315,,,,,,,,,,6,29,,,2,,17,3.2,0.01,0.01,4,6.9,3.5,7,4,0.768370602,0.257301328,8.7,4.7,9.4,4,1.000172216,0.29185077,6.1,1.9,3.8,4,0.645137961,0.097019372,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1994,Yes,Web of Science,Biggs 94 1,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,1,Small,,,,C,Cfb,,,,,0.00013,,,,,,17,,,,5,43,,,1.5,,36,6.3,3.4,6.8,4,,,,,,,6.4,1.8,3.6,4,0.015748357,0.370358806,5.2,2.3,4.6,4,-0.191891008,0.486893338,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1994,Yes,Web of Science,Biggs 94 7,New Zealand,NA,Map,,,-45,171,Plastic vial,Ceramic tile,Smooth,Vial,Vial,Parallel,4,38,2,0.5,NaNO3,0.05,Na2HPO4,,2002,Summer,February,6,Large,,,,C,Cfb,,,0.15,,0.778,,,,,,,,,,4,52,,,1,,55,7.3,1.8,3.6,4,8.1,2.6,5.2,4,0.103989714,0.163832474,10.7,4.7,9.4,4,0.382369393,0.253742015,6.6,2.6,5.2,4,-0.100804699,0.215987646,Yes,No,Longitudinal Placement,No,No,Nutrient limitation along a longitudinal gradient,TIN:DRP,
Biggs 1998,Yes,Web of Science 1st Searches,Mid-Catchment,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Winter,July,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,0.7,0.2,0.447213595,5,0.5,0.1,0.223606798,5,-0.336472237,0.121632653,1,0.1,0.223606798,5,0.356674944,0.091632653,0.7,0.2,0.447213595,5,0,0.163265306,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Midcatchment,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Headwaters,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Winter,July,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Grassland,,,Moderate,,,,,,,,,,,,0.1,0.4,0.894427191,5,1,0.4,0.894427191,5,2.302585093,16.16,1.1,0.2,0.447213595,5,2.397895273,16.03305785,0.5,0.2,0.447213595,5,1.609437912,16.16,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Headwaters ,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Mid-Catchment,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Fall,April,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,0.2,0.4,0.894427191,5,1.1,0.4,0.894427191,5,1.704748092,4.132231405,1.2,0.2,0.447213595,5,1.791759469,4.027777778,0.6,0.2,0.447213595,5,1.098612289,4.111111111,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Midcatchment,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Lowland,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Summer,February,NA,,,Gravel,Small,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,1.2,0.6,1.341640786,5,3.9,0.8,1.788854382,5,1.178654996,0.292077581,1.3,0.2,0.447213595,5,0.080042708,0.273668639,0.3,0.2,0.447213595,5,-1.386294361,0.694444444,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Lowlands,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Lowland,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Winter,July,NA,,,Gravel,Small,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,1.8,0.2,0.447213595,5,1.6,0.6,1.341640786,5,-0.117783036,0.152970679,1.1,0.6,1.341640786,5,-0.492476485,0.30986634,2.9,0.6,1.341640786,5,0.476924072,0.055151862,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Lowlands,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Headwaters,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Fall,April,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Grassland,,,Moderate,,,,,,,,,,,,2.4,0.7,1.565247584,5,4.7,1.4,3.130495168,5,0.672093771,0.173797376,3.3,0.4,0.894427191,5,0.318453731,0.099761823,5.5,1.2,2.683281573,5,0.829279355,0.13267275,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Headwaters ,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Lowland,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Fall,April,NA,,,Gravel,Small,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,2.4,1.6,3.577708764,5,1.4,1.3,2.906888371,5,-0.538996501,1.306689342,3.3,3,6.708203932,5,0.318453731,1.270890725,3.3,2.4,5.366563146,5,0.318453731,0.973370064,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Lowlands,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Lowland,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Spring,October,NA,,,Gravel,Small,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,2.8,0.4,0.894427191,5,8.8,1.8,4.024922359,5,1.145132304,0.062247006,2,0.4,0.894427191,5,-0.336472237,0.060408163,13.5,3,6.708203932,5,1.573070268,0.069790879,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Lowlands,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Mid-Catchment,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Spring,October,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,2.1,0.8,1.788854382,5,7.5,1.9,4.248529157,5,1.272965676,0.209302494,3.9,0.3,0.670820393,5,0.619039208,0.151041876,11.4,6.4,14.31083506,5,1.691676011,0.460298616,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Midcatchment,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Mid-Catchment,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Pastures,,,Open,,,,,,,,,,,,0.9,0.6,1.341640786,5,3.7,1.9,4.248529157,5,1.413693335,0.708140573,1.6,1,2.236067977,5,0.575364145,0.835069444,14,8.6,19.23018461,5,2.744417845,0.821791383,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Midcatchment,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Headwaters,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Spring,October,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Grassland,,,Moderate,,,,,,,,,,,,3.5,1.4,3.130495168,5,9.4,2.8,6.260990337,5,0.987946721,0.248727931,3.3,0.8,1.788854382,5,-0.0588405,0.218769513,17.8,9.9,22.13707298,5,1.626435489,0.469335942,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Headwaters ,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 1998,Yes,Web of Science 1st Searches,Headwaters,"South Island, NZ",NA,Map,,,-45,171,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,17,,NA,,NA,,,1993,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,,,,,,Grassland,,,Moderate,,,,,,,,,,,,4.9,0.9,2.01246118,5,18.1,6.8,15.20526225,5,1.306676733,0.174879376,6.2,1.7,3.801315562,5,0.235314087,0.108918045,,,,,,,Yes,No,Longitudinal placement & Season,No,No,Testing RCC: Headwaters ,"Flow variables are long-term averages and chemical variables are pooled in groups of sites, so not included ",
Biggs 2000,Yes,Web of Science 1st Searches,Stony Creek,"South Island, NZ",NA,Map,,,-46,170,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,21,2,0.5,NaNO3,0.05,Na2HPO4,Trt Kept Together,1995,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,0.15,0.3,,,2,Grassland,,,Open,,,,,,,,,,,,4.1,0.9,2.01246118,5,9.6,2.4,5.366563146,5,0.850776125,0.110685604,3.1,0.2,0.447213595,5,-0.279584862,0.052347935,9.1,1,2.236067977,5,0.79728744,0.06026144,Yes,No,Type of fish in stream ,No,Yes,Testing predator-insect intxns: Galaxis native fish stream ,Graph was crooked so chla data hard to extract accurately ,
Biggs 2000,Yes,Web of Science 1st Searches,Unnamed Creek,"South Island, NZ",NA,Map,,,-46,170,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,21,2,0.5,NaNO3,0.05,Na2HPO4,Trt Kept Together,1995,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,0.15,0.3,,,2,Grassland,,,Open,,,,,,,,,,,,4.9,2.6,5.813776741,5,19.3,4.2,9.391485505,5,1.370869891,0.32890633,2.9,0.5,1.118033989,5,-0.524524468,0.31127587,23.1,1,2.236067977,5,1.550597412,0.283423382,Yes,No,Type of fish in stream ,No,Yes,Testing predator-insect intxns: Galaxis native fish stream ,Graph was crooked so chla data hard to extract accurately ,
Biggs 2000,Yes,Web of Science 1st Searches,Sutton Stream,"South Island, NZ",NA,Map,,,-46,170,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,21,2,0.5,NaNO3,0.05,Na2HPO4,Trt Kept Together,1995,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,0.15,0.3,,,2,Grassland,,,Open,,,,,,,,,,,,13.8,1.7,3.801315562,5,31.9,3.2,7.155417528,5,0.837937418,0.025238178,8.8,0.5,1.118033989,5,-0.449916871,0.018403689,20.9,2.1,4.695742753,5,0.415080567,0.025271306,Yes,No,Type of fish in stream ,No,Yes,Testing predator-insect intxns: Brown trout non-native stream,Graph was crooked so chla data hard to extract accurately ,
Biggs 2000,Yes,Web of Science 1st Searches,Kyeburn ,"South Island, NZ",NA,Map,,,-46,170,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,21,2,0.5,NaNO3,0.05,Na2HPO4,Trt Kept Together,1995,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,0.15,0.3,,,2,Grassland,,,Open,,,,,,,,,,,,9.2,2.5,5.590169944,5,12,1.8,4.024922359,5,0.265703166,0.096342155,7.2,0.8,1.788854382,5,-0.245122458,0.086187834,14.6,2.6,5.813776741,5,0.461818045,0.105555422,Yes,No,Type of fish in stream ,No,Yes,Testing predator-insect intxns: Brown trout non-native stream,Graph was crooked so chla data hard to extract accurately ,
Biggs 2000,Yes,Web of Science 1st Searches,Healy Creek,"South Island, NZ",NA,Map,,,-46,170,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,21,2,0.5,NaNO3,0.05,Na2HPO4,Trt Kept Together,1995,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,0.15,0.3,,,2,Grassland,,,Open,,,,,,,,,,,,15.3,7.9,17.66493702,5,25.1,5.6,12.52198067,5,0.495015018,0.316383848,10.8,1.5,3.354101966,5,-0.348306694,0.285896984,38.2,2.9,6.484597135,5,0.914982687,0.272370135,Yes,No,Type of fish in stream ,No,Yes,Testing predator-insect intxns: Galaxis native fish stream ,Graph was crooked so chla data hard to extract accurately ,
Biggs 2000,Yes,Web of Science 1st Searches,McHardies Creek,"South Island, NZ",NA,Map,,,-46,170,Steel Box  ,Filter,Filter,Vial,Steel box,Parallel,5,21,2,0.5,NaNO3,0.05,Na2HPO4,Trt Kept Together,1995,Summer,February,NA,,,"Cobbles, boulders",Large,C,Cfb,,0.15,0.3,,,2,Grassland,,,Open,,,,,,,,,,,,19.7,6.2,13.86362146,5,15.6,1.3,2.906888371,5,-0.233347721,0.105993634,10.2,1.2,2.683281573,5,-0.658230915,0.11289002,52.2,5.1,11.40394669,5,0.974463859,0.108594704,Yes,No,Type of fish in stream ,No,Yes,Testing predator-insect intxns: Brown trout non-native stream,Graph was crooked so chla data hard to extract accurately ,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Jasper D/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,,,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,15,,0.5,NaNO3,0.5,KH2PO4,,1998,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,17.6,1.6,5.059644256,10,23.9,1.9,6.008327554,10,0.305979557,0.01458438,20.5,2.7,8.538149682,10,0.152525984,0.02561128,20.8,2,6.32455532,10,0.167054085,0.017510025,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Field U/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,51,-116,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,2000,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,9.8,3,9.486832981,10,,,,,,,15,2.9,9.170605214,10,0.425667815,0.131088732,19.9,3,9.486832981,10,0.708337346,0.116437653,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Jasper U/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,53,-118,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,15,,0.5,NaNO3,0.5,KH2PO4,,1998,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,0.3,0.1,0.316227766,10,0.8,0.2,0.632455532,10,0.980829253,0.173611111,2,0.6,1.897366596,10,1.897119985,0.201111111,8.1,5.7,18.02498266,10,3.295836866,0.606310014,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Jasper D/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,53,-118,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,1999,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,45.7,6.7,21.18726032,10,,,,,,,46.4,3.6,11.38419958,10,0.015201161,0.027513618,54.1,5.9,18.65743819,10,0.168735888,0.033387493,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Jasper U/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,53,-118,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,1999,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,1.2,0.8,2.529822128,10,,,,,,,19.8,5.6,17.7087549,10,2.803360381,0.524436282,26.2,6.7,21.18726032,10,3.083437854,0.509839818,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Emerald U/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,51,-116,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,2000,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,13.2,1.8,5.692099788,10,,,,,,,469.8,49.9,157.7976552,10,3.572090243,0.029876755,44.5,7.1,22.45217139,10,1.21527236,0.044051423,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Emerald D/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,51,-116,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,2000,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,127.5,44.7,141.3538114,10,,,,,,,623.4,141,445.8811501,10,1.587072003,0.174069059,863.9,12.5,39.52847075,10,1.913340657,0.12312147,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Field D/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,51,-116,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,2000,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfb,,,,,,,,,,,,,,,,,,,,,,93.2,33.9,107.2012127,10,,,,,,,379,84,265.6313235,10,1.402788483,0.181424819,582.4,49.9,157.7976552,10,1.832409775,0.139643407,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Lake Louise U/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,51,-116,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,1999,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfc,,,,,,,,,,,,,,,,,,,,,,0.8,0.1,0.316227766,10,,,,,,,1.3,0.4,1.264911064,10,0.485507816,0.110299556,1.5,0.3,0.948683298,10,0.628608659,0.055625,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Banff U/S,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,51,-116,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,1998,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfc,,,,,,,,,,,,,,,,,,,,,,0.4,0.3,0.948683298,10,0.15,0.08,0.252982213,10,-0.980829253,0.846944444,2,1.3,4.110960958,10,1.609437912,0.985,3.4,2.3,7.273238618,10,2.140066163,1.020112457,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
Bowman et al. 2005,Yes,Keck & Lepori Refs,Banff D/s,"Alberta, British Columbia",Northwestern Forested Mountains,Map,,,51,-116,Clay pot,Plastic Cover,Plastic,Clay Pot,Clay Pot,Parallel,10,30,,0.5,NaNO3,0.5,KH2PO4,,1998,Fall,October,"4, 5",Large,,Cobble  ,Medium,D,Dfc,,,,,,,,,,,,,,,,,,,,,,3,1.2,3.794733192,10,2.8,1.4,4.427188724,10,-0.068992871,0.41,2.3,0.9,2.846049894,10,-0.265703166,0.313119093,5.4,2.8,8.854377448,10,0.587786665,0.428861454,No,No,WWTP Upstream vs. Downstream ,No,No,WWTP u/s and d/s sites to compare indicators of limitation,,
